Home		Away
Team	PPP	PPP
Heat	1.141485	1.069867
Thunder	1.131679	1.063528
Rockets	1.118787	1.054679
Clippers	1.118714	1.055051
Knicks	1.109718	1.047243
Spurs	1.095569	1.061472
Kings	1.090046	0.989947
Nuggets	1.079903	1.054985
Jazz	1.078496	1.0198264
Lakers	1.075457	1.045602
Nets	1.073367	1.022941
Mavericks	1.071027	1.009542
Trail Blazers	1.066689	1.023054
Pacers	1.055736	0.995275
Hawks	1.054382	1.007891
Raptors	1.051208	1.038474
Warriors	1.049486	1.038054
Cavaliers	1.045312	1.03341
Hornets	1.039426	1.044457
Bucks	1.035547	1.00791
76ers	1.031052	0.988888
Magic	1.027367	0.988747
Pistons	1.027046	0.996324
Celtics	1.023113	1.003536
Grizzlies	1.021598	1.03365
Wizards	1.020038	0.921841
Bobcats	1.004408	0.976266
Timberwolves	1.000694	1.005797
Bulls	0.998539	1.013933
Suns	0.988161	1.000308
